物品名称	编号	说明
(强化)破军鞭	15053	（强化）破军鞭
(强化)贪狼鞭	15054	（强化）贪狼鞭
(强化)天魁鞭	15055	（强化）天魁鞭
(强化)艮山鞭	15056	（强化）艮山鞭
(强化)巽风鞭	15057	（强化）巽风鞭
(强化)玄武鞭	15058	（强化）玄武鞭
(强化)朱雀鞭	15059	（强化）朱雀鞭
(强化)白虎鞭	15060	（强化）白虎鞭
(强化)麒麟鞭	15061	（强化）麒麟鞭
(强化)青龙鞭	15062	（强化）青龙鞭
(强化)断魂索	15063	（强化）断魂索
(强化)金锻软鞭	15064	（强化）金锻软鞭
(强化)灵玉短鞭	15065	（强化）灵玉短鞭
(强化)凤凰鞭	15066	（强化）凤凰鞭
(强化)黑蝶邪鞭	15067	（强化）黑蝶邪鞭
(强化)血鞭	15068	（强化）血鞭
(强化)新月索	15069	（强化）新月索
(强化)飞凤鞭	15070	（强化）飞凤鞭
(强化)黑发拂尘	15071	（强化）黑发拂尘
(强化)紫缎软索	15072	（强化）紫缎软索
门派比武用鞭	15073	门派比武用鞭
玄碧鞭	15074	玄碧鞭
涅槃索	15075	涅槃索
胜邪鞭	15076	胜邪鞭
泰阿鞭	15077	泰阿鞭
龙渊鞭	15078	龙渊鞭
月梦鞭	15079	来自辽国的武器
传家宝鞭	15080	祖先所传下的宝鞭
游龙鞭	15081	游龙鞭
振威鞭	15082	振威鞭
枫杨鞭	15083	枫杨鞭，为NPC门派终身制弟子专属武器；若脱离NPC门派则枫杨鞭将会回收。
潋滟鞭	15084	潋灔鞭，为NPC门派终身制弟子专属武器；若脱离NPC门派则潋灔鞭将会回收。
琅琊鞭	15085	琅琊鞭，为NPC门派终身制弟子专属武器；若脱离NPC门派则琅琊鞭将会回收。
强化振威鞭	15086	强化振威鞭
(精一)金龙鞭	15087	以金属制成的软鞭,约有二丈二,平时可缠于腰间,便于携带,表层以黄铜混金而成,故曰金龙鞭。
(精一)蝎尾鞭	15088	赤铁打成的钢鞭，质亦软硬鞭之间，鞭尾生钩刺，刺为倒生。刺上有毒，须本门解药方能解之。
(精一)毒龙鞭(银)	15089	以钢片编制而成的四丈长鞭,外层包以银皮,状若龙鳞,故曰毒龙鞭,鞭首呈幼龙龙首之形,除增强打击力外,更可喂毒
(精二)金龙鞭	15090	以金属制成的软鞭,约有二丈二,平时可缠于腰间,便于携带,表层以黄铜混金而成,故曰金龙鞭。
(精二)蝎尾鞭	15091	赤铁打成的钢鞭，质亦软硬鞭之间，鞭尾生钩刺，刺为倒生。刺上有毒，须本门解药方能解之。
(精二)毒龙鞭(银)	15092	以钢片编制而成的四丈长鞭,外层包以银皮,状若龙鳞,故曰毒龙鞭,鞭首呈幼龙龙首之形,除增强打击力外,更可喂毒
(精三)金龙鞭	15093	以金属制成的软鞭,约有二丈二,平时可缠于腰间,便于携带,表层以黄铜混金而成,故曰金龙鞭。
(精三)蝎尾鞭	15094	赤铁打成的钢鞭，质亦软硬鞭之间，鞭尾生钩刺，刺为倒生。刺上有毒，须本门解药方能解之。
(精三)毒龙鞭(银)	15095	以钢片编制而成的四丈长鞭,外层包以银皮,状若龙鳞,故曰毒龙鞭,鞭首呈幼龙龙首之形,除增强打击力外,更可喂毒
(精四)金龙鞭	15096	以金属制成的软鞭,约有二丈二,平时可缠于腰间,便于携带,表层以黄铜混金而成,故曰金龙鞭。
(精四)蝎尾鞭	15097	赤铁打成的钢鞭，质亦软硬鞭之间，鞭尾生钩刺，刺为倒生。刺上有毒，须本门解药方能解之。
(精四)毒龙鞭(银)	15098	以钢片编制而成的四丈长鞭,外层包以银皮,状若龙鳞,故曰毒龙鞭,鞭首呈幼龙龙首之形,除增强打击力外,更可喂毒
(精五)金龙鞭	15099	以金属制成的软鞭,约有二丈二,平时可缠于腰间,便于携带,表层以黄铜混金而成,故曰金龙鞭。
(精五)蝎尾鞭	15100	赤铁打成的钢鞭，质亦软硬鞭之间，鞭尾生钩刺，刺为倒生。刺上有毒，须本门解药方能解之。
(精五)毒龙鞭(银)	15101	以钢片编制而成的四丈长鞭,外层包以银皮,状若龙鳞,故曰毒龙鞭,鞭首呈幼龙龙首之形,除增强打击力外,更可喂毒
(精一)软虹蛛索	15102	（强化）软虹蛛索
(精一)毒龙鞭	15103	（强化）毒龙鞭
(精二)软虹蛛索	15104	（强化）软虹蛛索
(精二)毒龙鞭	15105	（强化）毒龙鞭
(精三)软虹蛛索	15106	（强化）软虹蛛索
(精三)毒龙鞭	15107	（强化）毒龙鞭
(精四)软虹蛛索	15108	（强化）软虹蛛索
(精四)毒龙鞭	15109	（强化）毒龙鞭
(精五)软虹蛛索	15110	（强化）软虹蛛索
(精五)毒龙鞭	15111	（强化）毒龙鞭
神佑鞭	15112	天神所赐的宝鞭，提供玩家基本庇祐，一生只能领一次。
锁妖链	15113	捆仙索(少主)
退魔鞭	15114	捆仙索(霸主)
猫尾	15115	具有神秘灵气的鞭子，能够将所受到的攻击反弹回去。
暘钰之鞭	15116	暘钰之鞭
樊天鞭	15117	可镶上属性钻
神悟鞭	15118	神悟鞭(使用时间为现实30天)
上古贪狼鞭	15119	上古贪狼鞭
上古天魁鞭	15120	上古天魁鞭
上古破军鞭	15121	上古破军鞭
上古巽风鞭	15122	上古巽风鞭
上古艮山鞭	15123	上古艮山鞭
御皇鞭	15124	仿战神武器所制，后世做为比武之用的鞭。
天命鞭	15125	承天命的武器，拥有者能在武学上更有领悟，可透过强化提升等级。
怀旧青龙鞭	15126	装备后攻+330；可以存钱庄修复。
怀旧白虎鞭	15127	装备后攻+530；不可以存钱庄修复。可以透过神威水晶打洞。
怀旧朱雀鞭	15128	装备后攻+620；不可以存钱庄修复。可以透过神威水晶打洞。
怀旧玄武鞭	15129	装备后攻+800；不可以存钱庄修复。可以透过神威水晶打洞。
怀古鞭	15130	装备后攻+1200；不可以存钱庄修复。可以透过神威水晶打洞。
小皮鞭	15131	驯养小动物的可爱小皮鞭。
经典纪念鞭	15132	精选武器；装备后提高悟性+3。此装备不可交易。
	15133	
	15134	
白蟒鞭	15135	武林大会(盟主)4-8名奖励武器
	15136	
(晶1)樱花村日软鞭	15201	樱花村日软鞭
(晶1)霸体钢日鞭	15202	霸体钢日鞭
(晶1)韬击灭日钢链	15203	韬击灭日钢链
(晶1)无想祭日鞭	15204	无想祭日鞭
(晶1)空明烙日禅鞭	15205	空明烙日禅鞭
(晶1)飞翼划日鞭	15206	飞翼划日鞭
(晶1)皓命日影鞭	15207	皓命日影鞭
(晶1)图日荆棘鞭	15208	图日荆棘鞭
(晶1)炽日侍卫鞭	15209	炽日侍卫鞭
(晶1)三魂断日索	15210	三魂断日伏灵索
(晶2)樱花村日软鞭	15211	樱花村日软鞭
(晶2)霸体钢日鞭	15212	霸体钢日鞭
(晶2)韬击灭日钢链	15213	韬击灭日钢链
(晶2)无想祭日鞭	15214	无想祭日鞭
(晶2)空明烙日禅鞭	15215	空明烙日禅鞭
(晶2)飞翼划日鞭	15216	飞翼划日鞭
(晶2)皓命日影鞭	15217	皓命日影鞭
(晶2)图日荆棘鞭	15218	图日荆棘鞭
(晶2)炽日侍卫鞭	15219	炽日侍卫鞭
(晶2)三魂断日索	15220	三魂断日伏灵索
(晶3)樱花村日软鞭	15221	樱花村日软鞭
(晶3)霸体钢日鞭	15222	霸体钢日鞭
(晶3)韬击灭日钢链	15223	韬击灭日钢链
(晶3)无想祭日鞭	15224	无想祭日鞭
(晶3)空明烙日禅鞭	15225	空明烙日禅鞭
(晶3)飞翼划日鞭	15226	飞翼划日鞭
(晶3)皓命日影鞭	15227	皓命日影鞭
(晶3)图日荆棘鞭	15228	图日荆棘鞭
(晶3)炽日侍卫鞭	15229	炽日侍卫鞭
(晶3)三魂断日索	15230	三魂断日伏灵索
(晶4)樱花村日软鞭	15231	樱花村日软鞭
(晶4)霸体钢日鞭	15232	霸体钢日鞭
(晶4)韬击灭日钢链	15233	韬击灭日钢链
(晶4)无想祭日鞭	15234	无想祭日鞭
(晶4)空明烙日禅鞭	15235	空明烙日禅鞭
(晶4)飞翼划日鞭	15236	飞翼划日鞭
(晶4)皓命日影鞭	15237	皓命日影鞭
(晶4)图日荆棘鞭	15238	图日荆棘鞭
(晶4)炽日侍卫鞭	15239	炽日侍卫鞭
(晶4)三魂断日索	15240	三魂断日伏灵索
(晶5)樱花村日软鞭	15241	樱花村日软鞭
(晶5)霸体钢日鞭	15242	霸体钢日鞭
(晶5)韬击灭日钢链	15243	韬击灭日钢链
(晶5)无想祭日鞭	15244	无想祭日鞭
(晶5)空明烙日禅鞭	15245	空明烙日禅鞭
(晶5)飞翼划日鞭	15246	飞翼划日鞭
(晶5)皓命日影鞭	15247	皓命日影鞭
(晶5)图日荆棘鞭	15248	图日荆棘鞭
(晶5)炽日侍卫鞭	15249	炽日侍卫鞭
(晶5)三魂断日索	15250	三魂断日伏灵索
(晶6)樱花村日软鞭	15251	樱花村日软鞭
(晶6)霸体钢日鞭	15252	霸体钢日鞭
(晶6)韬击灭日钢链	15253	韬击灭日钢链
(晶6)无想祭日鞭	15254	无想祭日鞭
(晶6)空明烙日禅鞭	15255	空明烙日禅鞭
(晶6)飞翼划日鞭	15256	飞翼划日鞭
(晶6)皓命日影鞭	15257	皓命日影鞭
(晶6)图日荆棘鞭	15258	图日荆棘鞭
(晶6)炽日侍卫鞭	15259	炽日侍卫鞭
(晶6)三魂断日索	15260	三魂断日伏灵索
(晶7)樱花村日软鞭	15261	樱花村日软鞭
(晶7)霸体钢日鞭	15262	霸体钢日鞭
(晶7)韬击灭日钢链	15263	韬击灭日钢链
(晶7)无想祭日鞭	15264	无想祭日鞭
(晶7)空明烙日禅鞭	15265	空明烙日禅鞭
(晶7)飞翼划日鞭	15266	飞翼划日鞭
(晶7)皓命日影鞭	15267	皓命日影鞭
(晶7)图日荆棘鞭	15268	图日荆棘鞭
(晶7)炽日侍卫鞭	15269	炽日侍卫鞭
(晶7)三魂断日索	15270	三魂断日伏灵索
(晶8)樱花村日软鞭	15271	樱花村日软鞭
(晶8)霸体钢日鞭	15272	霸体钢日鞭
(晶8)韬击灭日钢链	15273	韬击灭日钢链
(晶8)无想祭日鞭	15274	无想祭日鞭
(晶8)空明烙日禅鞭	15275	空明烙日禅鞭
(晶8)飞翼划日鞭	15276	飞翼划日鞭
(晶8)皓命日影鞭	15277	皓命日影鞭
(晶8)图日荆棘鞭	15278	图日荆棘鞭
(晶8)炽日侍卫鞭	15279	炽日侍卫鞭
(晶8)三魂断日索	15280	三魂断日伏灵索
(晶9)樱花村日软鞭	15281	樱花村日软鞭
(晶9)霸体钢日鞭	15282	霸体钢日鞭
(晶9)韬击灭日钢链	15283	韬击灭日钢链
(晶9)无想祭日鞭	15284	无想祭日鞭
(晶9)空明烙日禅鞭	15285	空明烙日禅鞭
(晶9)飞翼划日鞭	15286	飞翼划日鞭
(晶9)皓命日影鞭	15287	皓命日影鞭
(晶9)图日荆棘鞭	15288	图日荆棘鞭
(晶9)炽日侍卫鞭	15289	炽日侍卫鞭
(晶9)三魂断日索	15290	三魂断日伏灵索
(晶10)樱花村日鞭	15291	樱花村日软鞭
(晶10)霸体钢日鞭	15292	霸体钢日鞭
(晶10)韬击灭日链	15293	韬击灭日钢链
(晶10)无想祭日鞭	15294	无想祭日鞭
(晶10)空明烙日鞭	15295	空明烙日禅鞭
(晶10)飞翼划日鞭	15296	飞翼划日鞭
(晶10)皓命日影鞭	15297	皓命日影鞭
(晶10)图日荆棘鞭	15298	图日荆棘鞭
(晶10)炽日侍卫鞭	15299	炽日侍卫鞭
(晶10)三魂断日索	15300	三魂断日伏灵索
(晶1)樱花村月软鞭	15301	樱花村月软鞭
(晶1)霸体钢月鞭	15302	霸体钢月鞭
(晶1)韬击灭月钢链	15303	韬击灭月钢链
(晶1)无想祭月鞭	15304	无想祭月鞭
(晶1)空明烙月禅鞭	15305	空明烙月禅鞭
(晶1)飞翼划月鞭	15306	飞翼划月鞭
(晶1)皓命月影鞭	15307	皓命月影鞭
(晶1)图月荆棘鞭	15308	图月荆棘鞭
(晶1)虚月侍卫鞭	15309	虚月侍卫鞭
(晶1)三魂断月索	15310	三魂断月伏灵索
(晶2)樱花村月软鞭	15311	樱花村月软鞭
(晶2)霸体钢月鞭	15312	霸体钢月鞭
(晶2)韬击灭月钢链	15313	韬击灭月钢链
(晶2)无想祭月鞭	15314	无想祭月鞭
(晶2)空明烙月禅鞭	15315	空明烙月禅鞭
(晶2)飞翼划月鞭	15316	飞翼划月鞭
(晶2)皓命月影鞭	15317	皓命月影鞭
(晶2)图月荆棘鞭	15318	图月荆棘鞭
(晶2)虚月侍卫鞭	15319	虚月侍卫鞭
(晶2)三魂断月索	15320	三魂断月伏灵索
(晶3)樱花村月软鞭	15321	樱花村月软鞭
(晶3)霸体钢月鞭	15322	霸体钢月鞭
(晶3)韬击灭月钢链	15323	韬击灭月钢链
(晶3)无想祭月鞭	15324	无想祭月鞭
(晶3)空明烙月禅鞭	15325	空明烙月禅鞭
(晶3)飞翼划月鞭	15326	飞翼划月鞭
(晶3)皓命月影鞭	15327	皓命月影鞭
(晶3)图月荆棘鞭	15328	图月荆棘鞭
(晶3)虚月侍卫鞭	15329	虚月侍卫鞭
(晶3)三魂断月索	15330	三魂断月伏灵索
(晶4)樱花村月软鞭	15331	樱花村月软鞭
(晶4)霸体钢月鞭	15332	霸体钢月鞭
(晶4)韬击灭月钢链	15333	韬击灭月钢链
(晶4)无想祭月鞭	15334	无想祭月鞭
(晶4)空明烙月禅鞭	15335	空明烙月禅鞭
(晶4)飞翼划月鞭	15336	飞翼划月鞭
(晶4)皓命月影鞭	15337	皓命月影鞭
(晶4)图月荆棘鞭	15338	图月荆棘鞭
(晶4)虚月侍卫鞭	15339	虚月侍卫鞭
(晶4)三魂断月索	15340	三魂断月伏灵索
(晶5)樱花村月软鞭	15341	樱花村月软鞭
(晶5)霸体钢月鞭	15342	霸体钢月鞭
(晶5)韬击灭月钢链	15343	韬击灭月钢链
(晶5)无想祭月鞭	15344	无想祭月鞭
(晶5)空明烙月禅鞭	15345	空明烙月禅鞭
(晶5)飞翼划月鞭	15346	飞翼划月鞭
(晶5)皓命月影鞭	15347	皓命月影鞭
(晶5)图月荆棘鞭	15348	图月荆棘鞭
(晶5)虚月侍卫鞭	15349	虚月侍卫鞭
(晶5)三魂断月索	15350	三魂断月伏灵索
(晶6)樱花村月软鞭	15351	樱花村月软鞭
(晶6)霸体钢月鞭	15352	霸体钢月鞭
(晶6)韬击灭月钢链	15353	韬击灭月钢链
(晶6)无想祭月鞭	15354	无想祭月鞭
(晶6)空明烙月禅鞭	15355	空明烙月禅鞭
(晶6)飞翼划月鞭	15356	飞翼划月鞭
(晶6)皓命月影鞭	15357	皓命月影鞭
(晶6)图月荆棘鞭	15358	图月荆棘鞭
(晶6)虚月侍卫鞭	15359	虚月侍卫鞭
(晶6)三魂断月索	15360	三魂断月伏灵索
(晶7)樱花村月软鞭	15361	樱花村月软鞭
(晶7)霸体钢月鞭	15362	霸体钢月鞭
(晶7)韬击灭月钢链	15363	韬击灭月钢链
(晶7)无想祭月鞭	15364	无想祭月鞭
(晶7)空明烙月禅鞭	15365	空明烙月禅鞭
(晶7)飞翼划月鞭	15366	飞翼划月鞭
(晶7)皓命月影鞭	15367	皓命月影鞭
(晶7)图月荆棘鞭	15368	图月荆棘鞭
(晶7)虚月侍卫鞭	15369	虚月侍卫鞭
(晶7)三魂断月索	15370	三魂断月伏灵索
(晶8)樱花村月软鞭	15371	樱花村月软鞭
(晶8)霸体钢月鞭	15372	霸体钢月鞭
(晶8)韬击灭月钢链	15373	韬击灭月钢链
(晶8)无想祭月鞭	15374	无想祭月鞭
(晶8)空明烙月禅鞭	15375	空明烙月禅鞭
(晶8)飞翼划月鞭	15376	飞翼划月鞭
(晶8)皓命月影鞭	15377	皓命月影鞭
(晶8)图月荆棘鞭	15378	图月荆棘鞭
(晶8)虚月侍卫鞭	15379	虚月侍卫鞭
(晶8)三魂断月索	15380	三魂断月伏灵索
(晶9)樱花村月软鞭	15381	樱花村月软鞭
(晶9)霸体钢月鞭	15382	霸体钢月鞭
(晶9)韬击灭月钢链	15383	韬击灭月钢链
(晶9)无想祭月鞭	15384	无想祭月鞭
(晶9)空明烙月禅鞭	15385	空明烙月禅鞭
(晶9)飞翼划月鞭	15386	飞翼划月鞭
(晶9)皓命月影鞭	15387	皓命月影鞭
(晶9)图月荆棘鞭	15388	图月荆棘鞭
(晶9)虚月侍卫鞭	15389	虚月侍卫鞭
(晶9)三魂断月索	15390	三魂断月伏灵索
(晶10)樱花村月鞭	15391	樱花村月软鞭
(晶10)霸体钢月鞭	15392	霸体钢月鞭
(晶10)韬击灭月链	15393	韬击灭月钢链
(晶10)无想祭月鞭	15394	无想祭月鞭
(晶10)空明烙月鞭	15395	空明烙月禅鞭
(晶10)飞翼划月鞭	15396	飞翼划月鞭
(晶10)皓命月影鞭	15397	皓命月影鞭
(晶10)图月荆棘鞭	15398	图月荆棘鞭
(晶10)虚月侍卫鞭	15399	虚月侍卫鞭
(晶10)三魂断月索	15400	三魂断月伏灵索
(晶1)樱花村星软鞭	15401	樱花村星软鞭
(晶1)霸体钢星鞭	15402	霸体钢星鞭
(晶1)韬击灭星钢链	15403	韬击灭星钢链
(晶1)无想祭星鞭	15404	无想祭星鞭
(晶1)空明烙星禅鞭	15405	空明烙星禅鞭
(晶1)飞翼划星鞭	15406	飞翼划星鞭
(晶1)皓命星影鞭	15407	皓命星影鞭
(晶1)图星荆棘鞭	15408	图星荆棘鞭
(晶1)隐星侍卫鞭	15409	隐星侍卫鞭
(晶1)三魂断星索	15410	三魂断星伏灵索
(晶2)樱花村星软鞭	15411	樱花村星软鞭
(晶2)霸体钢星鞭	15412	霸体钢星鞭
(晶2)韬击灭星钢链	15413	韬击灭星钢链
(晶2)无想祭星鞭	15414	无想祭星鞭
(晶2)空明烙星禅鞭	15415	空明烙星禅鞭
(晶2)飞翼划星鞭	15416	飞翼划星鞭
(晶2)皓命星影鞭	15417	皓命星影鞭
(晶2)图星荆棘鞭	15418	图星荆棘鞭
(晶2)隐星侍卫鞭	15419	隐星侍卫鞭
(晶2)三魂断星索	15420	三魂断星伏灵索
(晶3)樱花村星软鞭	15421	樱花村星软鞭
(晶3)霸体钢星鞭	15422	霸体钢星鞭
(晶3)韬击灭星钢链	15423	韬击灭星钢链
(晶3)无想祭星鞭	15424	无想祭星鞭
(晶3)空明烙星禅鞭	15425	空明烙星禅鞭
(晶3)飞翼划星鞭	15426	飞翼划星鞭
(晶3)皓命星影鞭	15427	皓命星影鞭
(晶3)图星荆棘鞭	15428	图星荆棘鞭
(晶3)隐星侍卫鞭	15429	隐星侍卫鞭
(晶3)三魂断星索	15430	三魂断星伏灵索
(晶4)樱花村星软鞭	15431	樱花村星软鞭
(晶4)霸体钢星鞭	15432	霸体钢星鞭
(晶4)韬击灭星钢链	15433	韬击灭星钢链
(晶4)无想祭星鞭	15434	无想祭星鞭
(晶4)空明烙星禅鞭	15435	空明烙星禅鞭
(晶4)飞翼划星鞭	15436	飞翼划星鞭
(晶4)皓命星影鞭	15437	皓命星影鞭
(晶4)图星荆棘鞭	15438	图星荆棘鞭
(晶4)隐星侍卫鞭	15439	隐星侍卫鞭
(晶4)三魂断星索	15440	三魂断星伏灵索
(晶5)樱花村星软鞭	15441	樱花村星软鞭
(晶5)霸体钢星鞭	15442	霸体钢星鞭
(晶5)韬击灭星钢链	15443	韬击灭星钢链
(晶5)无想祭星鞭	15444	无想祭星鞭
(晶5)空明烙星禅鞭	15445	空明烙星禅鞭
(晶5)飞翼划星鞭	15446	飞翼划星鞭
(晶5)皓命星影鞭	15447	皓命星影鞭
(晶5)图星荆棘鞭	15448	图星荆棘鞭
(晶5)隐星侍卫鞭	15449	隐星侍卫鞭
(晶5)三魂断星索	15450	三魂断星伏灵索
(晶6)樱花村星软鞭	15451	樱花村星软鞭
(晶6)霸体钢星鞭	15452	霸体钢星鞭
(晶6)韬击灭星钢链	15453	韬击灭星钢链
(晶6)无想祭星鞭	15454	无想祭星鞭
(晶6)空明烙星禅鞭	15455	空明烙星禅鞭
(晶6)飞翼划星鞭	15456	飞翼划星鞭
(晶6)皓命星影鞭	15457	皓命星影鞭
(晶6)图星荆棘鞭	15458	图星荆棘鞭
(晶6)隐星侍卫鞭	15459	隐星侍卫鞭
(晶6)三魂断星索	15460	三魂断星伏灵索
(晶7)樱花村星软鞭	15461	樱花村星软鞭
(晶7)霸体钢星鞭	15462	霸体钢星鞭
(晶7)韬击灭星钢链	15463	韬击灭星钢链
(晶7)无想祭星鞭	15464	无想祭星鞭
(晶7)空明烙星禅鞭	15465	空明烙星禅鞭
(晶7)飞翼划星鞭	15466	飞翼划星鞭
(晶7)皓命星影鞭	15467	皓命星影鞭
(晶7)图星荆棘鞭	15468	图星荆棘鞭
(晶7)隐星侍卫鞭	15469	隐星侍卫鞭
(晶7)三魂断星索	15470	三魂断星伏灵索
(晶8)樱花村星软鞭	15471	樱花村星软鞭
(晶8)霸体钢星鞭	15472	霸体钢星鞭
(晶8)韬击灭星钢链	15473	韬击灭星钢链
(晶8)无想祭星鞭	15474	无想祭星鞭
(晶8)空明烙星禅鞭	15475	空明烙星禅鞭
(晶8)飞翼划星鞭	15476	飞翼划星鞭
(晶8)皓命星影鞭	15477	皓命星影鞭
(晶8)图星荆棘鞭	15478	图星荆棘鞭
(晶8)隐星侍卫鞭	15479	隐星侍卫鞭
(晶8)三魂断星索	15480	三魂断星伏灵索
(晶9)樱花村星软鞭	15481	樱花村星软鞭
(晶9)霸体钢星鞭	15482	霸体钢星鞭
(晶9)韬击灭星钢链	15483	韬击灭星钢链
(晶9)无想祭星鞭	15484	无想祭星鞭
(晶9)空明烙星禅鞭	15485	空明烙星禅鞭
(晶9)飞翼划星鞭	15486	飞翼划星鞭
(晶9)皓命星影鞭	15487	皓命星影鞭
(晶9)图星荆棘鞭	15488	图星荆棘鞭
(晶9)隐星侍卫鞭	15489	隐星侍卫鞭
(晶9)三魂断星索	15490	三魂断星伏灵索
(晶10)樱花村星鞭	15491	樱花村星软鞭
(晶10)霸体钢星鞭	15492	霸体钢星鞭
(晶10)韬击灭星链	15493	韬击灭星钢链
(晶10)无想祭星鞭	15494	无想祭星鞭
(晶10)空明烙星鞭	15495	空明烙星禅鞭
(晶10)飞翼划星鞭	15496	飞翼划星鞭
(晶10)皓命星影鞭	15497	皓命星影鞭
(晶10)图星荆棘鞭	15498	图星荆棘鞭
(晶10)隐星侍卫鞭	15499	隐星侍卫鞭
(晶10)三魂断星索	15500	三魂断星伏灵索
辟日短鞭	15501	辟日短鞭
饮血幻日鞭	15502	饮血幻日鞭
昊日魔谕之鞭	15503	昊日魔谕之鞭
丈二击日长鞭	15504	丈二击日长鞭
日隐屠者之鞭	15505	日隐屠者之鞭
紫枭奕日鞭	15506	紫枭奕日鞭
寇日锁链鞭	15507	寇日锁链鞭
弒日蝴蝶鞭	15508	弒日蝴蝶鞭
无日无云鞭	15509	无日无云鞭
烈日开山铁鞭	15510	烈日开山铁鞭
瀛日霸者之鞭	15511	瀛日霸者之鞭
极意圆日鞭	15512	极意圆日鞭
慧日天翔索	15513	慧日天翔索
鬼日击龙鞭	15514	鬼日击龙鞭
冥日紫霞鞭	15515	冥日紫霞鞭
浑沌邀日黑蛇鞭	15516	浑沌邀日黑蛇鞭
玄凰魔日妖鞭	15517	玄凰魔日妖鞭
红日匠神之鞭	15518	红日匠神之鞭
狂日幻魔鞭	15519	狂日幻魔鞭
天罡昊日荆棘鞭	15520	天罡昊日荆棘鞭
樱花村日软鞭	15521	樱花村日软鞭
霸体钢日鞭	15522	霸体钢日鞭
韬击灭日钢链	15523	韬击灭日钢链
无想祭日鞭	15524	无想祭日鞭
空明烙日禅鞭	15525	空明烙日禅鞭
飞翼划日鞭	15526	飞翼划日鞭
皓命日影鞭	15527	皓命日影鞭
图日荆棘鞭	15528	图日荆棘鞭
炽日侍卫鞭	15529	炽日侍卫鞭
三魂断日伏灵索	15530	三魂断日伏灵索
	15531	
	15532	
	15533	
(魔1)樱花村日软鞭	15551	(魔1)樱花村日软鞭
(魔1)霸体钢日鞭	15552	(魔1)霸体钢日鞭
(魔1)韬击灭日钢链	15553	(魔1)韬击灭日钢链
(魔1)无想祭日鞭	15554	(魔1)无想祭日鞭
(魔1)空明烙日禅鞭	15555	(魔1)空明烙日禅鞭
(魔1)飞翼划日鞭	15556	(魔1)飞翼划日鞭
(魔1)皓命日影鞭	15557	(魔1)皓命日影鞭
(魔1)图日荆棘鞭	15558	(魔1)图日荆棘鞭
(魔1)炽日侍卫鞭	15559	(魔1)炽日侍卫鞭
(魔1)三魂断日索	15560	(魔1)三魂断日索
(魔2)樱花村日软鞭	15561	(魔2)樱花村日软鞭
(魔2)霸体钢日鞭	15562	(魔2)霸体钢日鞭
(魔2)韬击灭日钢链	15563	(魔2)韬击灭日钢链
(魔2)无想祭日鞭	15564	(魔2)无想祭日鞭
(魔2)空明烙日禅鞭	15565	(魔2)空明烙日禅鞭
(魔2)飞翼划日鞭	15566	(魔2)飞翼划日鞭
(魔2)皓命日影鞭	15567	(魔2)皓命日影鞭
(魔2)图日荆棘鞭	15568	(魔2)图日荆棘鞭
(魔2)炽日侍卫鞭	15569	(魔2)炽日侍卫鞭
(魔2)三魂断日索	15570	(魔2)三魂断日索
(魔3)樱花村日软鞭	15571	(魔3)樱花村日软鞭
(魔3)霸体钢日鞭	15572	(魔3)霸体钢日鞭
(魔3)韬击灭日钢链	15573	(魔3)韬击灭日钢链
(魔3)无想祭日鞭	15574	(魔3)无想祭日鞭
(魔3)空明烙日禅鞭	15575	(魔3)空明烙日禅鞭
(魔3)飞翼划日鞭	15576	(魔3)飞翼划日鞭
(魔3)皓命日影鞭	15577	(魔3)皓命日影鞭
(魔3)图日荆棘鞭	15578	(魔3)图日荆棘鞭
(魔3)炽日侍卫鞭	15579	(魔3)炽日侍卫鞭
(魔3)三魂断日索	15580	(魔3)三魂断日索
(魔4)樱花村日软鞭	15581	(魔4)樱花村日软鞭
(魔4)霸体钢日鞭	15582	(魔4)霸体钢日鞭
(魔4)韬击灭日钢链	15583	(魔4)韬击灭日钢链
(魔4)无想祭日鞭	15584	(魔4)无想祭日鞭
(魔4)空明烙日禅鞭	15585	(魔4)空明烙日禅鞭
(魔4)飞翼划日鞭	15586	(魔4)飞翼划日鞭
(魔4)皓命日影鞭	15587	(魔4)皓命日影鞭
(魔4)图日荆棘鞭	15588	(魔4)图日荆棘鞭
(魔4)炽日侍卫鞭	15589	(魔4)炽日侍卫鞭
(魔4)三魂断日索	15590	(魔4)三魂断日索
(魔5)樱花村日软鞭	15591	(魔5)樱花村日软鞭
(魔5)霸体钢日鞭	15592	(魔5)霸体钢日鞭
(魔5)韬击灭日钢链	15593	(魔5)韬击灭日钢链
(魔5)无想祭日鞭	15594	(魔5)无想祭日鞭
(魔5)空明烙日禅鞭	15595	(魔5)空明烙日禅鞭
(魔5)飞翼划日鞭	15596	(魔5)飞翼划日鞭
(魔5)皓命日影鞭	15597	(魔5)皓命日影鞭
(魔5)图日荆棘鞭	15598	(魔5)图日荆棘鞭
(魔5)炽日侍卫鞭	15599	(魔5)炽日侍卫鞭
(魔5)三魂断日索	15600	(魔5)三魂断日索
辟月短鞭	15601	辟月短鞭
饮血幻月鞭	15602	饮血幻月鞭
水月魔谕之鞭	15603	水月魔谕之鞭
丈二击月长鞭	15604	丈二击月长鞭
月隐屠者之鞭	15605	月隐屠者之鞭
紫枭奕月鞭	15606	紫枭奕月鞭
寇月锁链鞭	15607	寇月锁链鞭
弒月蝴蝶鞭	15608	弒月蝴蝶鞭
无月无云鞭	15609	无月无云鞭
霸月开山铁鞭	15610	霸月开山铁鞭
